,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency
236,public,24 hours daily,,,2021-06-22,,ELEC,Public,96950,,,E,EMBASSY CENTER NEW STATION,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.454592,-122.781679,Tigard,,,OR,9020 SW Washington Square Rd,97223,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL415361'], 'posts': ['561801', '561811']}",
237,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,97028,,,E,South Clackamas Transportation District,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.145345,-122.566024,Molalla,,,OR,807 East Main Street,97038,US,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['368618'], 'posts': ['529753']}",
238,public,24 hours daily,,,2021-06-22,,ELEC,Public,97036,,,E,CHARGE@RTH STATION 01,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520359,-122.537051,Portland,,,OR,300 SE 122nd Ave,97233,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL372911'], 'posts': ['505501', '505511']}",
239,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,98384,,,E,FRED MEYER - #220 Newberg,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.305972,-122.944922,Newberg,"EVSE's are located at the northwest 
corner of the store
",,OR,3300 Portland Rd,97132,US,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['50757'], 'posts': ['12895']}",
240,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,98387,,,E,Fred Meyer - #660 Wood Village,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.530047,-122.427359,Wood Village,,,OR,22855 NE Park Lane,97060,US,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['381287'], 'posts': ['25312', '25739', '26095', '26179']}",
241,private,For renter use only,,,2021-06-07,,ELEC,Private,98411,2018-04-23,P,E,Crescent Vue,,2021-06-07T17:37:37Z,HOTEL,200-9,45.449914,-123.961337,Tillamook,,,OR,132 Crescent St,97134,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
242,public,"10am-6pm M-F, 10am-4pm Sat-Sun; key required",KEY_ALWAYS,A Cash Checks D Debit M V,2020-07-13,,ELEC,Public - Card key at all times,98546,2018-05-01,P,E,Green Acres Market,541-678-7581,2021-04-20T17:40:59Z,GROCERY,200-9,44.204363,-121.227364,Redmond,,,OR,7777 S Highway 97,97756,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Carte-clé en tout temps,,,
243,public,24 hours daily,,,2021-06-22,,ELEC,Public,98753,,,E,2ND FL CAR CHAR 2ND FLOOR CHARG,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.532799,-122.695242,Portland,,,OR,2112 NW Quimby St,97210,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL443691'], 'posts': ['600031', '600041']}",
244,public,24 hours daily,,,2021-06-22,,ELEC,Public,99177,,,E,2WTC P1,855-900-7584,2021-06-22T01:27:16Z,,200-9,45.516061,-122.673899,Portland,,,OR,121 SW Salmon St,97204,US,,,,,,,,,,,['J1772'],,,8.0,Greenlots,http://greenlots.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1124'], 'posts': ['52162*1', '52162*2', '52293', '52299', '52300*1', '52300*2', '52302*1', '52302*2']}",
245,public,24 hours daily,,,2021-06-22,,ELEC,Public,99776,,,E,EV4 Oregon Office,855-900-7584,2021-06-22T01:27:16Z,,GPS,45.487226,-122.638413,Portland,,,OR,2727 SE Raymond Street,97202,US,,,,,,,,,,,['J1772'],,,1.0,Greenlots,http://greenlots.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['520'], 'posts': ['112134U']}",
246,public,24 hours daily,,,2021-06-22,,ELEC,Public,99778,,,E,Tillamook,855-900-7584,2021-06-22T01:27:16Z,,GPS,45.457061,-123.844996,Tillamook,,,OR,"Ivy Avenue & 2nd Street,",97141,US,,,,,,,,,,,['J1772'],,,1.0,Greenlots,http://greenlots.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1069'], 'posts': ['112107U']}",
247,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,100207,,,E,Clackamas Community College ITC,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.324057,-122.570489,Oregon City,,,OR,19600 S Molalla Ave.,97045,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['394520'], 'posts': ['31951', '32018']}",
248,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102370,2015-06-01,P,E,Best Western Sunridge Inn - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-9,44.7829,-117.8123,Baker City,,,OR,1 Sunridge Lane,97814,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2451']},
249,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102371,2016-07-15,P,E,Fred Meyer Bend - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-8,44.0356,-121.3085,Bend,,,OR,61535 S Highway 97,97702,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2453']},
250,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102372,2013-12-15,P,E,Detroit Lake - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-9,44.737,-122.152,Detroit,,,OR,210 D Street,97342,US,,,,,,,,,,,['TESLA'],6.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2454']},
251,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102373,2013-10-31,P,E,Black Bear Diner Grants Pass - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-9,42.4609,-123.3241,Grants Pass,,,OR,1900 NW 6th St.,97526,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2455']},
252,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102374,2017-09-01,P,E,Fred Meyer Klamath Falls - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-9,42.2169,-121.7564,Klamath Falls,,,OR,2655 Shasta Way,97603,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2670']},
253,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102375,2016-09-01,P,E,Lincoln City Outlets - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-8,44.9578,-124.011,Lincoln City,,,OR,1500 SE East Devils Lake Rd.,97367,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2456']},
254,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102377,2015-06-01,P,E,Wildhorse Resort and Casino - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-9,45.6466,-118.682,Pendleton,,,OR,46510 Wildhorse Blvd.,97801,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2457']},
255,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102379,2015-10-01,P,E,Fred Meyer - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-8,45.4028,-122.2944,Sandy,,,OR,16625 SE 362nd Dr.,97055,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2458']},
256,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102380,2016-07-15,P,E,Seaside Factory Outlet Center - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-9,46.001,-123.9168,Seaside,,,OR,1111 N Roosevelt Dr.,97138,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2459']},
257,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102382,2013-10-31,P,E,Holiday Inn Eugene - Springfield - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-8,44.0826,-123.0375,Springfield,,,OR,919 Kruse Way,97477,US,,,,,,,,,,,['TESLA'],14.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2463']},
258,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102384,2013-08-29,P,E,Elmer's Restaurant - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17Z,,200-9,45.1531,-122.8813,Woodburn,,,OR,255 N Arney Rd,97071,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2465']},
259,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,102714,,,E,Forest Grove City Parking (College Way @ University),888-998-2546,2021-06-21T22:55:12Z,,GPS,45.522646,-123.111055,Forest Grove,,,OR,2205 College Way,97116,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['43005'], 'posts': ['13809', '53153']}",
260,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,102715,,,E,Forest Grove Light & Power,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.517567,-123.116183,Forest Grove,,,OR,1818 B Street,97116,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['63890'], 'posts': ['17685', '44652']}",
261,public,24 hours daily,,,2020-11-09,,ELEC,Public,102953,2018-07-01,LG,E,City of Ashland - Public Parking Lot,541-488-5300,2021-03-11T23:22:17Z,PARKING_LOT,GPS,42.197279,-122.712786,Ashland,Located at Lithia Way and Pioneer St,,OR,165 Lithia Way,97520,US,,,,,,,,,,,['J1772'],,,10.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
262,public,Garage business hours; pay lot,,,2020-05-06,,ELEC,Public,102954,2018-05-01,LG,E,City of Ashland - Public Parking Garage,541-488-5300,2021-03-11T23:22:17Z,PAY_GARAGE,GPS,42.195809,-122.713621,Ashland,Located on Second St near Hargadine St,,OR,175 Hargadine St,97520,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
263,public,24 hours daily; Tesla adapter available,,,2021-06-07,,ELEC,Public,103921,2015-04-01,P,E,Harney County - Chamber of Commerce,541-573-2636,2021-06-07T17:37:37Z,MUNI_GOV,GPS,43.589715,-119.055007,Burns,,,OR,484 N Broadway Ave,97720,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
264,public,24 hours daily,,,2021-06-07,,ELEC,Public,103922,2013-01-01,P,E,Green Springs Inn,541-482-0614,2021-06-07T17:37:37Z,HOTEL,GPS,42.122821,-122.464271,Ashland,,,OR,11470 Highway 66,97520,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
265,public,24 hours daily; for guest use only,,,2020-09-03,,ELEC,Public,103947,2018-10-01,P,E,Franny Beck Wines,503-583-2296,2021-03-11T23:22:17Z,BREWERY_DISTILLERY_WINERY,GPS,45.115791,-123.206977,Amity,,,OR,108 5th St,97101,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
266,public,24 hours daily; for Tesla use only,,,2021-01-14,,ELEC,Public,103959,2018-10-01,P,E,Public Coast Brewing,503-436-0285,2021-03-11T23:22:17Z,PARKING_LOT,GPS,45.900889,-123.958827,Cannon Beach,,,OR,380 N Antler St,97110,US,,,,,,,,,,,['TESLA'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
267,public,Dealership business hours,CALL,,2020-09-03,,ELEC,Public - Call ahead,103974,2018-10-01,P,E,Goss Chevrolet,541-963-4161,2021-03-11T23:22:17Z,CAR_DEALER,GPS,45.326761,-118.091312,La Grande,,,OR,1415 Adams Ave,97850,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
268,public,24 hours daily,,,2020-10-09,,ELEC,Public,103976,2018-10-01,P,E,Lithia Building at the Commons,541-776-6401,2021-03-11T23:22:17Z,HOTEL,GPS,42.328866,-122.871814,Medford,,,OR,148 N Riverside Ave,97501,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
269,public,Vineyard business hours,,,2021-01-14,,ELEC,Public,103994,2018-10-01,P,E,Ponzi Vineyards,503-628-1227,2021-03-11T23:22:17Z,BREWERY_DISTILLERY_WINERY,GPS,45.380227,-122.93602,Sherwood,,,OR,19500 SW Mountain Home Rd,97140,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
270,public,24 hours daily; for guest use only; see front desk for access,,,2020-12-03,,ELEC,Public,103996,2018-10-01,P,E,FivePine Lodge and Spa,541-549-5900,2021-03-11T23:22:17Z,HOTEL,GPS,44.285827,-121.536435,Sisters,,,OR,1021 E Desperado Trail,97759,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
271,public,24 hours daily,,,2021-01-14,,ELEC,Public,103997,2018-10-01,P,E,Talent Community Center,541-535-1566,2021-03-11T23:22:17Z,REC_SPORTS_FACILITY,GPS,42.245028,-122.790141,Talent,,,OR,106 Home St,97540,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
272,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-21,,ELEC,Public,104060,,,E,Providence - Portland Medical Center - Glisan Parking Garage - Valet Parking,888-998-2546,2021-06-21T22:55:12Z,,GPS,45.527677,-122.611475,Portland,"Entrance gate off of NE Irving St. - A 
Level Parking. Valet Parking Only
",,OR,4805 NE Glisan St,97213,US,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['408147'], 'posts': ['477267', '477338', '477901', '478152']}",
273,public,Dealership business hours; customer use only,CALL,,2021-06-07,,ELEC,Public - Call ahead,104257,2020-08-10,P,E,Lassen Chevrolet Toyota,541-926-4236,2021-06-07T17:37:37Z,CAR_DEALER,GPS,44.630214,-123.055678,Albany,,,OR,1205 Price Rd SE,97322,US,,,,,,,,,,,['J1772COMBO'],1.0,,,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
274,public,24 hours daily,,,2020-04-08,,ELEC,Public,104258,2018-10-01,P,E,Windermere on the Beach,541-347-3710,2021-03-11T23:22:17Z,HOTEL,GPS,43.095269,-124.430871,Bandon,,,OR,3250 Beach Loop,97411,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
275,public,Dealership business hours,CALL,,2021-01-14,,ELEC,Public - Call ahead,104259,2020-08-12,P,E,Power Chevrolet,541-265-7731,2021-03-11T23:22:17Z,CAR_DEALER,GPS,44.647644,-124.052744,Newport,,,OR,1422 North Coast Hwy,97365,US,,,,,,,,,,,"['J1772', 'J1772COMBO']",1.0,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
276,public,24 hours daily; for guest use only; see front desk for access,,,2021-01-14,,ELEC,Public,104260,2018-10-01,P,E,Hallmark Inn,541-265-2600,2021-03-11T23:22:17Z,INN,GPS,44.630713,-124.063653,Newport,,,OR,744 SW Elizabeth St,97365,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
277,public,Dealership business hours,CALL,,2020-12-03,,ELEC,Public - Call ahead,104261,2018-10-01,P,E,Ken Ware Chevrolet,541-756-1181,2021-03-11T23:22:17Z,CAR_DEALER,GPS,43.390905,-124.234151,North Bend,,,OR,1595 Newmark St,97459,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
278,public,Dealership business hours,CALL,,2021-05-06,,ELEC,Public - Call ahead,104264,2018-10-01,P,E,Courtney Auto Repair,541-271-1243,2021-05-06T13:19:19Z,CAR_DEALER,GPS,43.699725,-124.103324,Reedsport,,,OR,898 Winchester Ave,97467,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
279,public,24 hours daily; for Tesla use only,,,2021-01-14,,ELEC,Public,104743,2018-10-01,P,E,Whole in the Wall,541-462-3663,2021-03-11T23:22:17Z,STREET_PARKING,GPS,44.566585,-120.155408,Mitchell,,,OR,114 W Main St,97750,US,,,,,,,,,,,['TESLA'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
280,public,24 hours daily,,,2021-06-22,,ELEC,Public,104928,,,E,GRESHAM HONDA SHOP02,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.520048,-122.406379,Troutdale,,,OR,24999 SE Stark St,97060,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL684801'], 'posts': ['913821']}",
281,private,For student and staff use only,,,2021-05-06,,ELEC,Private,105034,2018-10-01,P,E,Lewis & Clark College - Holmes Hall,,2021-05-06T13:19:19Z,COLLEGE_CAMPUS,GPS,45.447286,-122.669869,Lake Oswego,,,OR,615 SW Palatine Hill Rd,97219,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,
282,public,6am-7pm daily,,,2021-01-14,,ELEC,Public,105036,2018-10-01,P,E,Stonecreek Golf Course,503-518-4653,2021-03-11T23:22:17Z,REC_SPORTS_FACILITY,GPS,45.298048,-122.563601,Oregon City,,,OR,14603 S Stoneridge Dr,97045,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
283,public,Contact station for availability; key from Café required to unlock chargers,CALL,,2020-03-03,,ELEC,Public - Call ahead,105037,2018-10-01,P,E,Willamette Highway Parking,,2021-03-11T23:22:17Z,STREET_PARKING,GPS,43.746765,-122.490567,Oakridge,,,OR,47452 OR-58,97463,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
284,public,24 hours daily,,,2020-09-03,,ELEC,Public,105038,2018-10-01,P,E,Tillamook Creamery,503-815-1300,2021-03-11T23:22:17Z,RESTAURANT,GPS,45.483213,-123.843868,Tillamook,,,OR,4165 N Highway 101,97141,US,,,,,,,,,,,"['J1772', 'TESLA']",,,6.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,
285,public,24 hours daily,,,2021-06-22,,ELEC,Public,105207,,,E,SIMON WOODBURNOUTLET1,888-758-4389,2021-06-22T00:42:47Z,,GPS,45.15813,-122.876818,Woodburn,,,OR,1001 N Arney Rd,97071,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL729131'], 'posts': ['968051']}",
286,public,Dealership business hours,CALL,,2020-12-03,,ELEC,Public - Call ahead,105360,2018-12-01,P,E,Guaranty Chevrolet,541-234-3011,2021-03-11T23:22:17Z,CAR_DEALER,GPS,44.214122,-123.205072,Junction City,,,OR,20 Highway 99 S,97448,US,,,,,,,,,,,"['J1772', 'J1772COMBO']",1.0,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
287,public,Dealership business hours,CALL,,2021-01-14,,ELEC,Public - Call ahead,105364,2018-12-01,P,E,Airport Chevrolet,541-622-2004,2021-03-11T23:22:17Z,CAR_DEALER,GPS,42.361323,-122.876631,Medford,,,OR,3001 Biddle Rd,97504,US,,,,,,,,,,,"['J1772', 'J1772COMBO']",1.0,,3.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
288,public,24 hours daily; for customer use only,,,2020-11-03,,ELEC,Public,115344,2016-08-15,P,E,Palm Cottages - Tesla Destination,541-482-2636  877-798-3752,2021-03-11T23:22:17Z,HOTEL,200-9,42.188557,-122.69705,Ashland,,,OR,1065 Siskiyou Blvd,97520,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['15350']},
289,public,24 hours daily; for customer use only; see front desk for access,,,2020-11-03,,ELEC,Public,115345,2018-10-01,P,E,The Peerless Hotel - Tesla Destination,541-488-1082  877-798-3752,2021-03-11T23:22:17Z,HOTEL,200-9,42.197532,-122.707815,Ashland,,,OR,243 4th St,97520,US,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['32962']},
290,public,24 hours daily; for customer use only,CALL,,2020-11-03,,ELEC,Public - Call ahead,115346,2018-10-01,P,E,RedTail Inn - Tesla Destination,541-778-8788  877-798-3752,2021-03-11T23:22:17Z,INN,200-9,42.194127,-122.707956,Ashland,,,OR,550 E Main St,97520,US,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,{'station': ['31392']},
291,public,24 hours daily; for customer use only; see front desk for access,,,2020-11-03,,ELEC,Public,115347,2016-02-01,P,E,Plaza Inn & Suites Ashland Creek - Tesla Destination,541-488-8900  877-798-3752,2021-03-11T23:22:17Z,HOTEL,200-9,42.199523,-122.715393,Ashland,,,OR,98 Central Ave,97520,US,,,,,,,,,,,['TESLA'],,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['5857']},
292,public,24 hours daily; for customer use only,CALL,,2020-11-03,,ELEC,Public - Call ahead,115348,2017-03-01,P,E,Bandon Dunes Golf Resort - Tesla Destination,800-742.0172  877-798-3752,2021-03-11T23:22:17Z,HOTEL,200-8,43.186682,-124.38933,Bandon,,,OR,57744 Round Lake,97411,US,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,{'station': ['22468']},
293,public,24 hours daily; for customer use only,,,2020-11-03,,ELEC,Public,115349,2016-05-01,P,E,Bandon Crossings Golf Course - Tesla Destination,541-347-3232  877-798-3752,2021-03-11T23:22:17Z,REC_SPORTS_FACILITY,200-9,43.034574,-124.406065,Bandon,,,OR,87530 Dew Valley Ln,97411,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['12957']},
294,public,24 hours daily; for customer use only; see front desk for access,,,2020-11-03,,ELEC,Public,115350,2015-05-01,P,E,The Oxford Hotel - Tesla Destination,542-610-3401  877-798-3752,2021-03-11T23:22:17Z,HOTEL,200-9,44.05769,-121.312151,Bend,,,OR,10 NW Minnesota Ave,97701,US,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['1784']},
295,public,24 hours daily; for customer use only,,,2020-11-03,,ELEC,Public,115352,2016-08-15,P,E,Fairfield Inn & Suites Bend - Tesla Destination,541-318-1747  877-798-3752,2021-03-11T23:22:17Z,HOTEL,200-9,44.066467,-121.308158,Bend,,,OR,1626 NW Wall St,97701,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['13232']},
