,field_1,access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,open_date,owner_type_code,status_code,station_name,station_phone,updated_at,facility_type,geocode_status,latitude,longitude,city,intersection_directions,plus4,state,street_address,zip,country,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_renewable_source,lng_vehicle_class,lpg_primary,lpg_nozzle_types,ng_fill_type_code,ng_psi,ng_vehicle_class,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,ev_network_ids,federal_agency,geometry,OBJECTID,UTILITYNAM,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,GLOBALID,SHAPE_STAr,SHAPE_STLe
230,230,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-15,,ELEC,Public,96542,,,E,Danielson's Hilltop Mall,888-998-2546,2021-06-15T22:55:14,,GPS,45.335211,-122.593116,Oregon City,,,OR,1500 Molalla Ave,97045,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['80810'], 'posts': ['502625', '502636']}",,POINT (7663925.612521583 615277.0971500933),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
231,231,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-15,,ELEC,Public,96564,,,E,Smart Park - 4th & Yamhill,888-998-2546,2021-06-15T22:55:14,,GPS,45.517312,-122.676815,Portland,"Enter on 4th Ave between Taylor and 
Yamhill Located on Level 8.
",,OR,330 SW Yamhill Street,97204,US,,,,,,,,,,,['J1772'],,,3.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['81054'], 'posts': ['477404', '477446', '477467']}",,POINT (7644199.031112687 682215.4028498861),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
234,234,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-15,,ELEC,Public,96671,,,E,Beaverton - City Library,888-998-2546,2021-06-15T22:55:14,,GPS,45.4845,-122.8047,Beaverton,,,OR,12375 SW Fifth Street,97005,US,,,,,,,,,,,['J1772'],,,3.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['16280'], 'posts': ['421059', '502365', '517056']}",,POINT (7611090.516224595 671165.8814230864),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
235,235,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-15,,ELEC,Public,96673,,,E,Walters Cultural Art Center,888-998-2546,2021-06-15T22:55:14,,GPS,45.522961,-122.982309,Hillsboro,,,OR,527 E Main St,97123,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['16289'], 'posts': ['502569', '502654']}",,POINT (7565989.697757044 686531.6714911675),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
236,236,public,24 hours daily,,,2021-06-16,,ELEC,Public,96950,,,E,EMBASSY CENTER NEW STATION,888-758-4389,2021-06-16T00:24:33,,GPS,45.454592,-122.781679,Tigard,,,OR,9020 SW Washington Square Rd,97223,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL415361'], 'posts': ['561801', '561811']}",,POINT (7616684.441320519 660098.1410081451),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
237,237,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-15,,ELEC,Public,97028,,,E,South Clackamas Transportation District,888-998-2546,2021-06-15T22:55:14,,GPS,45.145345,-122.566024,Molalla,,,OR,807 East Main Street,97038,US,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['368618'], 'posts': ['529753']}",,POINT (7669119.894107648 545898.515542588),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
238,238,public,24 hours daily,,,2021-06-16,,ELEC,Public,97036,,,E,CHARGE@RTH STATION 01,888-758-4389,2021-06-16T00:24:33,,GPS,45.520359,-122.537051,Portland,,,OR,300 SE 122nd Ave,97233,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL372911'], 'posts': ['505501', '505511']}",,POINT (7680039.611198016 682391.8457682424),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
239,239,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-15,,ELEC,Public,98384,,,E,FRED MEYER - #220 Newberg,888-998-2546,2021-06-15T22:55:14,,GPS,45.305972,-122.944922,Newberg,"EVSE's are located at the northwest 
corner of the store
",,OR,3300 Portland Rd,97132,US,,,,,,,,,,,['J1772'],,,1.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['50757'], 'posts': ['12895']}",,POINT (7573173.648430859 607162.1464893783),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
240,240,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-15,,ELEC,Public,98387,,,E,Fred Meyer - #660 Wood Village,888-998-2546,2021-06-15T22:55:14,,GPS,45.530047,-122.427359,Wood Village,,,OR,22855 NE Park Lane,97060,US,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['381287'], 'posts': ['25312', '25739', '26095', '26179']}",,POINT (7708230.504378991 685233.426821098),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
243,243,public,24 hours daily,,,2021-06-16,,ELEC,Public,98753,,,E,2ND FL CAR CHAR 2ND FLOOR CHARG,888-758-4389,2021-06-16T00:24:33,,GPS,45.532799,-122.695242,Portland,,,OR,2112 NW Quimby St,97210,US,,,,,,,,,,,['J1772'],,,2.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL443691'], 'posts': ['600031', '600041']}",,POINT (7639630.904343973 687987.7859526349),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
244,244,public,24 hours daily,,,2021-06-16,,ELEC,Public,99177,,,E,2WTC P1,855-900-7584,2021-06-16T01:07:54,,200-9,45.516061,-122.673899,Portland,,,OR,121 SW Salmon St,97204,US,,,,,,,,,,,['J1772'],,,8.0,Greenlots,http://greenlots.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['1124'], 'posts': ['52162*1', '52162*2', '52293', '52299', '52300*1', '52300*2', '52302*1', '52302*2']}",,POINT (7644933.926916378 681739.3217170449),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
245,245,public,24 hours daily,,,2021-06-16,,ELEC,Public,99776,,,E,EV4 Oregon Office,855-900-7584,2021-06-16T01:07:54,,GPS,45.487226,-122.638413,Portland,,,OR,2727 SE Raymond Street,97202,US,,,,,,,,,,,['J1772'],,,1.0,Greenlots,http://greenlots.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['520'], 'posts': ['112134U']}",,POINT (7653748.532316908 670986.877815349),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
247,247,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-15,,ELEC,Public,100207,,,E,Clackamas Community College ITC,888-998-2546,2021-06-15T22:55:14,,GPS,45.324057,-122.570489,Oregon City,,,OR,19600 S Molalla Ave.,97045,US,,,,,,,,,,,['J1772'],,,2.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['394520'], 'posts': ['31951', '32018']}",,POINT (7669637.893848347 611061.8878017159),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
255,255,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102379,2015-10-01,P,E,Fred Meyer - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17,,200-8,45.4028,-122.2944,Sandy,,,OR,16625 SE 362nd Dr.,97055,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2458']},,POINT (7741263.942202627 638065.6161539202),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
258,258,public,24 hours daily; for Tesla use only,,,2020-08-10,,ELEC,Public,102384,2013-08-29,P,E,Elmer's Restaurant - Tesla Supercharger,877-798-3752,2021-03-11T23:22:17,,200-9,45.1531,-122.8813,Woodburn,,,OR,255 N Arney Rd,97071,US,,,,,,,,,,,['TESLA'],8.0,,,Tesla,http://www.teslamotors.com/supercharger,,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,,,,,,,,,,,,,,,Public,,{'station': ['2465']},,POINT (7587892.296274025 550963.1200107372),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
265,265,public,24 hours daily; for guest use only,,,2020-09-03,,ELEC,Public,103947,2018-10-01,P,E,Franny Beck Wines,503-583-2296,2021-03-11T23:22:17,BREWERY_DISTILLERY_WINERY,GPS,45.115791,-123.206977,Amity,,,OR,108 5th St,97101,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7503464.484702063 540013.9866575238),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
269,269,public,Vineyard business hours,,,2021-01-14,,ELEC,Public,103994,2018-10-01,P,E,Ponzi Vineyards,503-628-1227,2021-03-11T23:22:17,BREWERY_DISTILLERY_WINERY,GPS,45.380227,-122.93602,Sherwood,,,OR,19500 SW Mountain Home Rd,97140,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7576279.059468335 634153.3610643263),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
272,272,public,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,,,2021-06-15,,ELEC,Public,104060,,,E,Providence - Portland Medical Center - Glisan Parking Garage - Valet Parking,888-998-2546,2021-06-15T22:55:14,,GPS,45.527677,-122.611475,Portland,"Entrance gate off of NE Irving St. - A 
Level Parking. Valet Parking Only
",,OR,4805 NE Glisan St,97213,US,,,,,,,,,,,['J1772'],,,4.0,Blink Network,http://www.blinkcharging.com/,,Level 2: $0.49 per kWh,,,,,,,,,,,,,,,,Public,,"{'station': ['408147'], 'posts': ['477267', '477338', '477901', '478152']}",,POINT (7661040.04880954 685548.8352532873),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
280,280,public,24 hours daily,,,2021-06-16,,ELEC,Public,104928,,,E,GRESHAM HONDA SHOP02,888-758-4389,2021-06-16T00:24:33,,GPS,45.520048,-122.406379,Troutdale,,,OR,24999 SE Stark St,97060,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL684801'], 'posts': ['913821']}",,POINT (7713519.428428267 681461.1765669788),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
281,281,private,For student and staff use only,,,2021-05-06,,ELEC,Private,105034,2018-10-01,P,E,Lewis & Clark College - Holmes Hall,,2021-05-06T13:19:19,COLLEGE_CAMPUS,GPS,45.447286,-122.669869,Lake Oswego,,,OR,615 SW Palatine Hill Rd,97219,US,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,,,,,,,,,,,,,,,Privé,,,,POINT (7645293.163450378 656644.9951848275),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
282,282,public,6am-7pm daily,,,2021-01-14,,ELEC,Public,105036,2018-10-01,P,E,Stonecreek Golf Course,503-518-4653,2021-03-11T23:22:17,REC_SPORTS_FACILITY,GPS,45.298048,-122.563601,Oregon City,,,OR,14603 S Stoneridge Dr,97045,US,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,,,,,,,,,,,,,,,Public,,,,POINT (7671166.693344587 601537.0857792398),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
285,285,public,24 hours daily,,,2021-06-16,,ELEC,Public,105207,,,E,SIMON WOODBURNOUTLET1,888-758-4389,2021-06-16T00:24:33,,GPS,45.15813,-122.876818,Woodburn,,,OR,1001 N Arney Rd,97071,US,,,,,,,,,,,['J1772'],,,1.0,ChargePoint Network,http://www.chargepoint.com/,,,,,,,,,,,,,,,,,,Public,,"{'station': ['USCPIL729131'], 'posts': ['968051']}",,POINT (7589101.944441622 552762.1073429264),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
311,311,public,24 hours daily; for customer use only,,,2020-11-03,,ELEC,Public,115368,2018-11-01,P,E,Stoller Family Estate - Tesla Destination,503-864-3404  877-798-3752,2021-03-11T23:22:17,BREWERY_DISTILLERY_WINERY,GPS,45.24117,-123.069729,Dayton,,,OR,16161 NE McDougall Rd,97114,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['3949']},,POINT (7540327.803836809 584544.6046471518),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
312,312,public,24 hours daily; for customer use only,CALL,,2020-11-03,,ELEC,Public - Call ahead,115369,2017-03-01,P,E,Domaine Serene - Tesla Destination,503-864-4600  877-798-3752,2021-03-11T23:22:17,OTHER_ENTERTAINMENT,200-9,45.27009,-123.069863,Dayton,,,OR,6555 NE Hilltop Ln,97114,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,{'station': ['15506']},,POINT (7540628.635207107 595084.1362935801),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
313,313,public,24 hours daily; for customer use only,,,2020-11-03,,ELEC,Public,115370,2015-05-01,P,E,Domaine Drouhin - Tesla Destination,503-864-2700  877-798-3752,2021-03-11T23:22:17,OTHER_ENTERTAINMENT,200-9,45.265248,-123.055793,Dayton,,,OR,6750 NE Breyman Orchards Rd,97114,US,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['4082']},,POINT (7544193.142032549 593204.8176623001),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
315,315,public,24 hours daily; for customer use only,,,2020-11-03,,ELEC,Public,115372,2016-05-01,P,E,Lange Estate Winery and Vineyards - Tesla Destination,503-538-6476  877-798-3752,2021-03-11T23:22:17,BREWERY_DISTILLERY_WINERY,200-9,45.294038,-123.040682,Dundee,,,OR,18380 NE Buena Vista Dr,97115,US,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['12774']},,POINT (7548411.729310529 603573.3613548791),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
316,316,public,24 hours daily,,,2020-11-03,,ELEC,Public,115373,2016-02-01,P,E,Hyland Estates - Tesla Destination,503-554-4200  877-798-3752,2021-03-11T23:22:17,BREWERY_DISTILLERY_WINERY,200-9,45.268997,-123.020986,Dundee,,,OR,20980 NE Niederberger Rd,97115,US,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['6275']},,POINT (7553192.79824297 594289.465431088),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
317,317,public,24 hours daily,,,2020-11-03,,ELEC,Public,115374,2018-10-01,P,E,Estacada City Hall - Tesla Destination,503-630-8270  877-798-3752,2021-03-11T23:22:17,OFFICE_BLDG,200-9,45.286178,-122.334465,Estacada,,,OR,475 SE Main St,97023,US,,,,,,,,,,,"['J1772', 'TESLA']",,,4.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['38651']},,POINT (7730010.867879026 595788.3298045383),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
321,321,public,24 hours daily; for customer use only,,,2020-11-03,,ELEC,Public,115378,2017-09-01,P,E,Apolloni Vineyards Winery - Tesla Destination,503-359-3606  877-798-3752,2021-03-11T23:22:17,BREWERY_DISTILLERY_WINERY,200-9,45.622895,-123.21977,Forest Grove,,,OR,14135 NW Timmerman Rd,97116,US,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['26365']},,POINT (7506386.947791294 724907.3131414193),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
329,329,public,24 hours daily; for customer use only,,,2020-11-03,,ELEC,Public,115386,2016-02-01,P,E,Babica Hen Cafe - Tesla Destination,503-636-4012  877-798-3752,2021-03-11T23:22:17,RESTAURANT,200-9,45.409642,-122.719662,Lake Oswego,,,OR,15964 Boones Ferry Rd,97035,US,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['12565']},,POINT (7632142.007509476 643272.3418023284),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
330,330,public,24 hours daily,,,2020-11-03,,ELEC,Public,115387,2018-11-01,P,E,Lake Oswego - Tesla Destination,503-635-0280  877-798-3752,2021-03-11T23:22:17,MUNI_GOV,200-9,45.419827,-122.66573,Lake Oswego,,,OR,209 A St,97219,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['40166']},,POINT (7646086.668171802 646608.5745241314),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
331,331,public,24 hours daily,,,2020-11-03,,ELEC,Public,115389,2015-03-01,P,E,"Youngberg Hill, a Select Registry Property - Tesla Destination",503-472-2727  877-798-3752,2021-03-11T23:22:17,HOTEL,200-8,45.179578,-123.279462,McMinnville,,,OR,10660 SW Youngberg Hill Rd,97128,US,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['4620']},,POINT (7485564.238087088 563890.6754623447),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
332,332,public,24 hours daily,,,2020-11-03,,ELEC,Public,115390,2016-02-01,P,E,Lawrence Gallery - Tesla Destination,503-437-4038  877-798-3752,2021-03-11T23:22:17,MUSEUM,200-9,45.115299,-123.317723,McMinnville,,,OR,19700 SW Hwy 18,97128,US,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['11034']},,POINT (7474887.502293824 540811.9775616028),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
335,335,public,24 hours daily,,,2020-11-03,,ELEC,Public,115393,2018-10-01,P,E,City of Milwaukie - Tesla Destination,503-786-7555  877-798-3752,2021-03-11T23:22:17,MUNI_GOV,GPS,45.444467,-122.642042,Milwaukie,,,OR,1950 SE Jackson St,97222,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['41276']},,POINT (7652404.873285667 655426.9963357777),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
336,336,public,24 hours daily; for customer use only,CALL,,2020-11-03,,ELEC,Public - Call ahead,115394,2016-02-01,P,E,Inn at Red Hills - Tesla Destination,503-538-7666  877-798-3752,2021-03-11T23:22:17,INN,GPS,45.272167,-123.016364,Newberg,,,OR,410 Hwy 99W,97132,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,{'station': ['6271']},,POINT (7554418.11678936 595407.5499403259),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
341,341,public,24 hours daily; for customer use only; see valet for access,,,2020-11-03,,ELEC,Public,115400,2015-03-01,P,E,Portland Marriott Downtown Waterfront - Tesla Destination,503-226-7600  877-798-3752,2021-03-11T23:22:17,HOTEL,200-8,45.512928,-122.675369,Portland,,,OR,1401 SW Naito Pkwy,97201,US,,,,,,,,,,,"['J1772', 'TESLA']",,,6.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['2086']},,POINT (7644526.505880699 680607.5639663514),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
344,344,public,24 hours daily,,,2020-11-03,,ELEC,Public,115403,2017-09-01,P,E,Oregon Museum of Science & Industry - Tesla Destination,503-797-4000  877-798-3752,2021-03-11T23:22:17,MUSEUM,GPS,45.508376,-122.664644,Portland,,,OR,1945 SE Water St,97214,US,,,,,,,,,,,"['J1772', 'TESLA']",,,3.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['30889']},,POINT (7647230.329904431 678874.6360458964),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
345,345,public,24 hours daily; see valet for access,,,2020-11-03,,ELEC,Public,115404,2016-02-01,P,E,Embassy Suites by Hilton Portland Downtown - Tesla Destination,503-279-9000  877-798-3752,2021-03-11T23:22:17,HOTEL,200-9,45.522061,-122.674064,Portland,,,OR,319 SW Pine St,97204,US,,,,,,,,,,,"['J1772', 'TESLA']",,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['13058']},,POINT (7644950.509821906 683927.3109413907),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
346,346,public,24 hours daily; for customer use only; see front desk for access,,,2020-11-03,,ELEC,Public,115405,2018-10-01,P,E,Hampton Inn & Suites Portland/Pearl District - Tesla Destination,503-222-5200  877-798-3752,2021-03-11T23:22:17,HOTEL,200-8,45.525661,-122.679988,Portland,,,OR,354 NW 9th Ave,97209,US,,,,,,,,,,,['TESLA'],,,1.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['24320']},,POINT (7643468.142646779 685280.3295584793),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
347,347,public,24 hours daily; for customer use only; see front desk for access,,,2020-11-03,,ELEC,Public,115406,2018-10-01,P,E,Kimpton Hotel Monaco Portland - Tesla Destination,503-222-0001  877-798-3752,2021-03-11T23:22:17,HOTEL,200-9,45.519888,-122.677365,Portland,,,OR,506 SW Washington St,97204,US,,,,,,,,,,,['TESLA'],,,2.0,Tesla Destination,https://www.tesla.com/destination-charging,,Free,,,,,,,,,,,,,,,,Public,,{'station': ['38779']},,POINT (7644083.414243042 683158.0883406245),329,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816
